GeneID	Control_Expression_Group	Treatment_Expression_Group	Gene_description
Potri.013G088600	NA	High Expression	exportin 1A
Potri.001G166100	NA	High Expression	oligouridylate binding protein 1B
Potri.002G097700	Medium Expression	NA	methyl-CPG-binding domain 8
Potri.019G078300	High Expression	NA	CRINKLY4 related 4
Potri.007G009200	NA	High Expression	Leucine-rich receptor-like protein kinase family protein
Potri.013G019800	High Expression	Medium Expression	cellulose synthase A9
Potri.017G068900	Not Expressed	Not Expressed	unknown
Potri.013G021500	NA	Medium Expression	alpha/beta-Hydrolases superfamily protein
Potri.013G028600	Medium Expression	NA	Prefoldin chaperone subunit family protein
Potri.014G175600	NA	Medium Expression	photosystem I subunit l
Potri.016G096500	High Expression	Medium Expression	ubiquitin-protein ligase 7
Potri.002G197900	High Expression	NA	alpha/beta-Hydrolases superfamily protein
Potri.003G071800	High Expression	NA	Subtilase family protein
Potri.001G392600	NA	Medium Expression	tetratricopetide-repeat thioredoxin-like 1
Potri.014G070400	NA	Low Expression	LOB domain-containing protein 18
Potri.005G110300	Medium Expression	NA	Cation efflux family protein
Potri.010G035400	NA	High Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.009G158400	NA	Medium Expression	FAR1-related sequence 3
Potri.017G070500	Medium Expression	NA	5\'-3\' exonuclease family protein
Potri.010G014500	Medium Expression	NA	tRNA synthetase class I (I, L, M and V) family protein
Potri.018G005600	NA	High Expression	RING/U-box superfamily protein
Potri.015G003000	Medium Expression	Medium Expression	nuclear RNA polymerase C2
Potri.001G225200	NA	Medium Expression	Ubiquitin-associated/translation elongation factor EF1B protein
Potri.010G046500	High Expression	NA	plant intracellular ras group-related LRR 3
Potri.012G033800	Low Expression	NA	unknown
Potri.013G152900	NA	High Expression	exocyst subunit exo70 family protein B1
Potri.013G140000	Not Expressed	Low Expression	unknown
Potri.011G084900	NA	Not Expressed	Glycosyl hydrolase superfamily protein
Potri.004G215500	NA	High Expression	SNF7 family protein
Potri.012G049000	Medium Expression	Medium Expression	unknown
Potri.014G052100	High Expression	NA	casein kinase II  beta subunit 4
Potri.013G136700	NA	Low Expression	photosynthetic electron transfer B
Potri.001G234700	NA	Low Expression	Chloroplast-targeted copper chaperone protein
Potri.016G110400	NA	Low Expression	Cysteine proteinases superfamily protein
Potri.001G056800	NA	Medium Expression	HCP-like superfamily protein with MYND-type zinc finger
Potri.011G043100	NA	Medium Expression	multidrug resistance-associated protein 12
Potri.011G094400	High Expression	NA	O-Glycosyl hydrolases family 17 protein
Potri.019G021900	NA	Not Expressed	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Potri.003G197700	High Expression	High Expression	SNF2 domain-containing protein / helicase domain-containing protein / F-box family protein
Potri.009G030700	Medium Expression	Medium Expression	Protein of unknown function (DUF3741)
Potri.011G025700	NA	High Expression	Oligosaccharyltransferase complex/magnesium transporter family protein
Potri.013G008900	NA	Medium Expression	lon protease 1
Potri.005G167500	NA	Not Expressed	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Potri.001G258400	Low Expression	Not Expressed	CCCH-type zinc finger protein with ARM repeat domain
Potri.016G126900	Not Expressed	Not Expressed	receptor like protein 6
Potri.018G081800	NA	Medium Expression	plastidic type i signal peptidase 1
Potri.004G126000	NA	Not Expressed	UDP-glucosyl transferase 88A1
Potri.018G086600	High Expression	NA	golgin candidate 1
Potri.013G139700	Not Expressed	Not Expressed	Ycf1 protein
Potri.016G080600	High Expression	Medium Expression	Pectin lyase-like superfamily protein
Potri.008G135700	NA	High Expression	semialdehyde dehydrogenase family protein
Potri.001G304000	High Expression	High Expression	poly(A) binding protein 8
Potri.003G210600	Low Expression	Low Expression	AMP-dependent synthetase and ligase family protein
Potri.006G165700	High Expression	High Expression	Aldolase superfamily protein
Potri.004G001200	NA	Medium Expression	cytidinediphosphate diacylglycerol synthase 2
Potri.001G438300	NA	High Expression	Chaperone DnaJ-domain superfamily protein
Potri.017G121900	NA	Low Expression	LRR and NB-ARC domains-containing disease resistance protein
Potri.014G194600	NA	Medium Expression	Protein of unknown function (DUF3741)
Potri.002G092600	NA	Medium Expression	tRNA modification GTPase, putative
Potri.005G083600	NA	Medium Expression	CPR5 protein, putative
Potri.012G004000	Medium Expression	Low Expression	Vacuolar iron transporter (VIT) family protein
Potri.003G019600	NA	Medium Expression	Protein of unknown function (DUF3411)
Potri.007G010800	NA	High Expression	K-box region and MADS-box transcription factor family protein
Potri.002G140700	NA	Medium Expression	unknown
Potri.007G004100	NA	High Expression	valyl-tRNA synthetase / valine--tRNA ligase (VALRS)
Potri.014G051900	Medium Expression	Medium Expression	Cox19 family protein (CHCH motif)
Potri.008G040000	Low Expression	Not Expressed	alpha/beta-Hydrolases superfamily protein
Potri.003G178800	NA	Medium Expression	S15/NS1, RNA-binding protein
Potri.005G122800	NA	High Expression	Family of unknown function (DUF716)
Potri.009G155400	Medium Expression	Medium Expression	Protein kinase superfamily protein
Potri.009G043300	NA	High Expression	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.006G217400	NA	High Expression	Transmembrane proteins 14C
Potri.001G028300	NA	Medium Expression	ARM repeat superfamily protein
Potri.004G092500	Low Expression	Low Expression	carboxyesterase 18
Potri.008G074000	NA	Medium Expression	prenylated RAB acceptor 1.B4
Potri.T003100	Medium Expression	Medium Expression	phosphatidylinositol-4-phosphate 5-kinase 1
